Gross,Net,NettoGross,Av_Porosit,Sw,Av_Shc,Phih,SoPhi,SoPhih,Av_Permeab,LLx,LLy
29.101,27.74,0.953,0.126,0.538,0.462,3.5,0.05821,1.61480088,1.101,1710907.9,13445288.07
170.952,123.397,0.722,0.084,0.468,0.532,10.37,0.04469,5.514365136,0.204,1809563.243,13401288.71
39.079,30,0.768,0.092,0.506,0.494,2.76,0.04545,1.36344,0.273,1862306.389,13382662.96
40.529,15.5,0.382,0.106,0.675,0.325,1.64,0.03445,0.533975,1.255,2008900.71,13472238.64
53.175,49.51,0.931,0.135,0.457,0.543,6.68,0.07331,3.62933055,1.742,1822917.231,13419669.31
173.051,151.993,0.878,0.078,0.348,0.652,11.86,0.05086,7.729756008,0.202,1889332.512,13419434.24
87.616,58.761,0.671,0.092,0.348,0.652,5.41,0.05998,3.524719824,0.236,1805640.022,13401909.39
231.56,154.835,0.669,0.084,0.49,0.51,13.01,0.04284,6.6331314,0.326,1846392.851,13386493.75
133.962,100.5,0.75,0.099,0.402,0.598,9.95,0.0592,5.949801,0.708,1807291.392,13400932.9
111.513,79.239,0.711,0.094,0.519,0.481,7.45,0.04521,3.582712146,0.482,1824438.745,13390500.5
87.923,66.822,0.76,0.096,0.317,0.683,6.41,0.06557,4.381384896,0.514,1726167.84 ,13392715.17 
92.429,58,0.628,0.073,0.315,0.685,4.23,0.05001,2.90029,0.192,1842983.327,13384820.05
47.822,47.531,0.994,0.233,0.559,0.441,11.07,0.10275,4.883952843,11.811,2009625.83,13513316.09
107.869,103.478,0.959,0.096,0.152,0.848,9.93,0.08141,8.423937024,0.265,1654971.513,13412411.02
27.647,27.566,0.997,0.159,0.353,0.647,4.38,0.10287,2.835797118,2.531,1698510.78 ,13430497.64 
96.475,15.5,0.161,0.06,0.457,0.543,0.93,0.03258,0.50499,0.026,2034657.121,13556338.15
43.807,16,0.365,0.112,0.656,0.344,1.79,0.03853,0.616448,0.609,1902420.937,13506902.16
404.86,81,0.2,0.06,0.258,0.742,4.86,0.04452,3.60612,0.024,1982415.769,13445587.1
70.867,70.457,0.994,0.256,0.335,0.665,18.04,0.17024,11.99459968,28.992,1763371.42,13448156.86
226.273,93,0.411,0.076,0.349,0.651,7.07,0.04948,4.601268,0.129,1885426.022,13369920.53
69.134,6,0.087,0.082,0.652,0.348,0.49,0.02854,0.171216,0.129,1656509.9,13469944.51
50.599,50,0.988,0.234,0.583,0.417,11.7,0.09758,4.8789,12.628,2106229.757,13730610.93
176.36,42,0.238,0.064,0.325,0.675,2.69,0.0432,1.8144,0.454,1986895.04,13462733.69
37.143,23.5,0.633,0.162,0.509,0.491,3.81,0.07954,1.869237,3.532,1874309.86,13478189.13
31.35,21.217,0.677,0.109,0.65,0.35,2.31,0.03815,0.80942855,0.6,1951754.86,13588574.75
22.049,21.5,0.975,0.171,0.507,0.493,3.68,0.0843,1.8125145,9.946,1955710.96,13481563.25
290.68,221.21,0.761,0.137,0.55,0.45,30.31,0.06165,13.6375965,1.692,1944699.456,13508981.37
38.645,20,0.518,0.17,0.56,0.44,3.4,0.0748,1.496,3.773,1923430.785,13523144.35
79.89,79.668,0.997,0.122,0.496,0.504,9.72,0.06149,4.898625984,1.714,1961020.34,13512074.78
510.74,28,0.055,0.1,0.45,0.55,2.8,0.055,1.54,3.3,1960876.16,13439174.66
24.155,20.5,0.849,0.139,0.405,0.595,2.85,0.08271,1.6954525,1.985,1978940.87,13511244.15
120.644,54.5,0.452,0.109,0.663,0.337,5.94,0.03673,2.0019485,0.834,1992838.34,13572166.35
71.906,45.646,0.635,0.1,0.591,0.409,4.56,0.0409,1.8669214,0.69,1955198.951,13511894.87
159.921,135.161,0.845,0.107,0.573,0.427,14.46,0.04569,6.175370929,0.544,1968616.58,13528494.52
266.91,245.5,0.92,0.096,0.553,0.447,23.57,0.04291,10.534896,0.388,1815819.08,13442844.61
67.628,26,0.384,0.078,0.277,0.723,2.03,0.05639,1.466244,0.292,1885594.11,13449469.79
83.762,37.5,0.448,0.125,0.554,0.446,4.69,0.05575,2.090625,1.172,1945266.51,13553977.16
119.318,61,0.511,0.083,0.501,0.499,5.06,0.04142,2.526437,0.26,1854568.846,13457209.62
131.407,110.887,0.844,0.101,0.482,0.518,11.2,0.05232,5.801386066,0.486,1854022.703,13456157.15
94.463,73,0.773,0.099,0.542,0.458,7.23,0.04534,3.309966,0.304,1853841.192,13458135.8
36.96,32,0.866,0.077,0.419,0.581,2.46,0.04474,1.431584,0.143,1910663.76,13478127.18
16.254,15.5,0.954,0.135,0.353,0.647,2.09,0.08735,1.3538475,2.023,1936918.46,13443961
52.902,48.5,0.917,0.083,0.537,0.463,4.03,0.03843,1.8638065,0.165,2028504.781,13599429.02
358.72,331.528,0.924,0.091,0.536,0.464,30.17,0.04222,13.99843827,0.284,1765956.15,13402321.19
56.167,33,0.588,0.181,0.574,0.426,5.97,0.07711,2.544498,9.598,1964683.02,13510861.7
355.7,337.303,0.948,0.118,0.488,0.512,39.8,0.06042,20.37849805,1.11,1927545.93,13480594.08
23.051,22,0.954,0.178,0.476,0.524,3.92,0.09327,2.051984,3.794,1869569.97,13490870.85
137.461,58.5,0.426,0.092,0.603,0.397,5.38,0.03652,2.136654,0.275,2031691.317,13548187.99
73.096,23.5,0.321,0.075,0.318,0.682,1.76,0.05115,1.202025,0.187,1705507.76 ,13382279.77 
89.69,37,0.413,0.064,0.452,0.548,2.37,0.03507,1.297664,0.033,1890614.947,13489615.58
40.934,2,0.049,0.053,0.583,0.417,0.11,0.0221,0.044202,0.012,1951497.57,13499545.34
56.984,42.184,0.74,0.103,0.457,0.543,4.34,0.05593,2.359308936,0.519,1860445.95,13464302.31
22.895,5,0.218,0.1,0.335,0.665,0.5,0.0665,0.3325,0.465,1907571.22,13441158.86
49.695,39,0.785,0.282,0.631,0.369,11,0.10406,4.058262,77.309,1961768.29,13509356.93
54.586,45.5,0.834,0.261,0.568,0.432,11.88,0.11275,5.130216,27.128,2124051.663,13754597.99
